,Title,Description,Type,Geography,Geography Code,Frameworks,Keywords,Events
881,Law no. 1561/00 (creating the National Environmental Council),"This law creates and regulates the functioning of the agencies responsible for the development, standardisation, coordination, execution and oversight of national environmental policy and management. It notably creates the National System of the Environment (SISNAM), integrated by the set of organs and public entities of the national, departmental and municipal governments, with environmental competence; and private entities created with the same purpose. The system also aims at avoiding institutional conflicts, gaps or competition overlaps. The System's supervisory attributions include climate-related matters.",legislative,Paraguay,PRY,,Institutions / Administrative Arrangements,30/12/1999 | Law passed
882,Decree no. 2000-186/PRN/MME (amending Article 8 of Decree no. 99-460/PCRN/MME on the National Solar Energy Center),This decree amends article 8 of the decree no 99-460/PCRN/MME on the National Solar Energy Center of 1999 to change the rules setting the composition of the Center.,executive,Niger,NER,Mitigation and adaptation,"Institutions / Administrative Arrangements, Energy Supply",23/06/2000 | Law passed
883,Law no. 98-56 (Framework Law on Environmental Management),"This Law establishes the general legal framework and the fundamental principles of environnment management in the country.

A Fund called the National Environment Fund is set up to finance the National Environmental Policy (art.15). This fund will notably be used in support of programs to combat desertification, including
reforestation, fight against bush fires, improve farming techniques and use of energy sources other than firewood, and for the promotion of the use of renewable energies and clean technologies (art. 17).",legislative,Niger,NER,,Institutions / Administrative Arrangements,29/12/1998 | Law passed
884,National environment policy 2015-2025,"The strategic goal of the National Environment Policy 2015 to 2025 is to ensure the protection, conservation and sustainable use of the natural resources of South Sudan without compromising the tenets of inter-generational equity. The policy will pursue and archive to develop laws, regulations and guidelines to ensure sustainable management of the environment as well as the prudent utilisation of natural resources. The policy contains ten chapters including chapters on climate change, management of resources, corporate social and environmental responsibilities and environmental planning.",executive,South Sudan,SSD,,Redd+ And Lulucf,01/09/2015 | Law passed
885,Energy Sector Strategy 1387-1391 (2007/8-2012/3),"This strategy sets the vision and goals for the energy sector between 2008 and 2013. It aims at increasing the efficiency of operations in parallel to capital investments, to provide affordable supply including in rural areas, and enocourage public-private partnerships. New supply including wind should also be pursued through large projects. Renewable energy is set as one of the preferred option in rural areas.",executive,Afghanistan,AFG,,Energy Supply,25/12/2008 | Law passed
886,Rural Renewable Energy Policy (RREP),"This policy aims at creating better social, economic and environmental conditions for people living in rural areas. This includes energy services, electric lighting, and energy efficiency. Renewable energy is notably promoted. The document further sets out legal and regulatory framework objectives and standards.",executive,Afghanistan,AFG,No,"Energy Supply, Adaptation",25/12/2013 | Law passed
887,National Forestry Management Policy (NFMP),,executive,Afghanistan,AFG,,Research And Development,25/12/2007 | Law passed
888,Framework for Climate Change Adaptation and Disaster Risk Reduction,"This document outlines the government's vision regarding climate change and associated disasters. It aims at identifying adaptation priorities and to provide a framework for long-term planning.

Priorities outlined are water energy and food security, safeguarding a healthy environment, people and productive land resources. The document lists in section 4 a number of specific priorities to implement the overall strategy.",executive,Nauru,NRU,Mitigation and adaptation,"Institutions / Administrative Arrangements, Energy Supply, Energy Demand, Adaptation",25/12/2015 | Law passed
889,Strategic National Action Plan for Disaster Risk Reduction (SNAP),"<div>This Action Plan includes the objective of utilising the convergence of disaster risk reduction and climate change adaptation. Community resilience shall be strenghtenedto learn and adapt to risks and get multi-sectoral, governmental and other types of support.</div>",executive,Afghanistan,AFG,Mitigation,Adaptation,25/12/2011 | Law passed |  | 
890,The National Environmental Action Plan (NEAP),,executive,Afghanistan,AFG,No,Adaptation,25/12/2009 | Law passed
891,National Policy on Climate Change for Namibia,"This document presents information about the main expected impacts of climate change in Namibia and about those most vulnerable. The document also proposes objectives that the Government of Namibia will aim to achieve through an effective and efficient response to climate change.

The Policy aims in particular at enabling a sustainable access to water, food security, human health and wellbeing, access to fisheries and marine resources, making infrastructure resilient to climate risks, low carbon energy and economy, education, public awareness, research. It further seeks to improve disaster risk management, better allocate financial resources and foster international cooperation.",executive,Namibia,NAM,,"Research And Development, Energy Supply, Energy Demand, Adaptation",01/09/2010 | Law passed
892,Executive Directive no. 303/14 -Internal Regulation of the National Direction for Renewable Energies,"The Executive Decree no. 303/14 defines the organisation, composition, functioning and missions of the National Direction of Renewable Energies (DNER). It replaces Decree no. 161/10 which approved the previous regulation of the DNER.<br />
<br />
DNER is an executive service of the Ministry of Energy and Waters and has following responsibilities: designing, proposing and implementing the policy on the development and exploitation of renewable energies; promoting the diversification of the national energy, in particular through the efficient use of renewable energies; participating in scientific research and technological actions related to renewable energies; assessing, certifying and monitoring renewable energy technologies in order to protect the environment and guarantee quality and security standards; licensing renewable energy infrastructures.",executive,Angola,AGO,,Institutions / Administrative Arrangements,25/12/2011 | Law passed
893,Law 2008-005 - Framework Law on the Environment,"This law sets the general legal framework for environmental management in Togo. It aims to 1) preserve and sustainably manage the environment, 2) guarantee to all citizens an ecologically sound living environment and balanced, 3) create conditions for rational and sustainable management of resources natural for present and future generations, 4) establish the basic principles for managing, preserving the environment against all forms of degradation in order to develop natural resources, to fight against all kinds of pollution and nuisances, and 5) sustainably improve the living conditions of the population while respecting the balance with the surrounding environment.

Article 134. The State shall combat desertification and climate change by ensuring the protection of forests, rangelands and pastures against all forms of degradation, pollution or destruction resulting in particular from overexploitation, overgrazing, excessive clearing , fires, burns or the introduction of unsuitable species.

Article 135. The State may, in the context of the fight against climate change and desertification, grant subsidies in kind or in cash to local authorities, associations, community-based organizations and any natural person carrying out significant activities in these areas. areas.",legislative,Togo,TGO,,Institutions / Administrative Arrangements,30/05/2008 | Law passed
894,National Energy Policy,"The National Energy Policy aims at establishing priorities and plans for the short, medium and long term in the sector, to ensure that the development goals of the country are met through the sustainable supply and use of energy for the benefit of all. It seeks in particular to 1) ensure energy access, 2) enhance employment creation, 3) ensure security of energy supply, 4) stimulate economic growth and development, and 5) ensure environmental and health sustainability.

The Policy charges the government to 1) develop a renewable energy information programme, establish and maintain an appropriate renewable energy information system, 2) support and promote the dissemination of information and demonstration of prioritised renewable energy technologies, and 3) investigate financing mechanisms.",executive,Swaziland,SWZ,Mitigation,"Transportation, Research And Development, Institutions / Administrative Arrangements, Energy Supply, Energy Demand, Carbon Pricing",01/09/2003 | Law passed
895,Decree 4056 to establish regimes for sustainable use of bioenergy resources,"This Decree mandates the Ministry of Public Works and Communications to set regimes of certification, control and promotion of the use of bioenergy in Paraguay. The Regulation for the Certification of Solid Biomass for Energy purposes will be implemented gradually and must contain the following percentages: for the first year of its implementation, consumers must use at least thirty percent (30%) of Certified Bioenergies by the national enforcement authority; in the second year, at least fifty percent (50%); for the third year, at least seventy percent (70%) in the fourth year, ninety percent (90%); and for the fifth year one hundred percent (100%) of the consumption with sources of Certified Bioenergies.",executive,Paraguay,PRY,No,"Institutions / Administrative Arrangements, Energy Supply",14/09/2015 | Law passed
896,"Decree 2,794: National Development Plan 2030","This Decree approves the National Development Plan 2030. The PND Paraguay 2030 is a strategic document that will facilitate the coordination of actions in the sectoral instances of the executive power, as well as with different levels of government, civil society, private sector and, eventually, the Legislative and Judicial branches. The Plan sets Climate change mitigation as one goal of global insertion for the country. The Plan further aims at making Paraguyan's economic production sustainable.

Adaptation to climate change is also pursued through the following goals:
â€¢ Restore at least 20 % of degraded ecosystems.
â€¢ Increase national income from the sale of environmental services (credits by carbon sinks).
â€¢ Reduce recovery costs in the event of disasters caused by climatic effects.
â€¢ Exploit aquifers based on environmental plans duly monitored.
â€¢ Increase the coverage of forest areas and protected biomass (% coverage) forest and % weighted by global biomass).",executive,Paraguay,PRY,No,"Institutions / Administrative Arrangements, Energy Supply, Energy Demand, Adaptation",16/12/2014 | Law passed
897,Law 2748/05 on the promotion of biofuels,"This law aims at favouring the uptake of biofuels production and consumption in the country. It focuses on biodiesel, absolute and hydrated bioetanol. The industrial production of biofuels is declared of national interest in art. 4.

The law allow for people and entities engaging into biofuel production to benefit from tax incentives defined in laws 60/90 y 2421/04. The document further sets regulatory rules around the scheme.",legislative,Paraguay,PRY,,Energy Supply,07/10/2005 | Law passed
898,Framework law on natural gas no. 3254/07 (mitigation of environmental impact),"This law aims at promoting jobs and energy alternatives, protecting consumer interests, protecting the environment, and promote energy conservation through the promotion of natural gas. It also seeks to identify solutions adequate to each region in Paraguay. A favourable fiscal regime for natural gas is instituted.",legislative,Paraguay,PRY,,"Institutions / Administrative Arrangements, Energy Supply, Energy Demand",07/09/2007 | Law passed
899,Resolution 941/07 definining â€˜forest' for carbon capture and reduction projects,"This resolution defines the exact meaning of ""forest"" as regard its carbon sink property. Art. 2 recommends to take the following values for the national definition of forests for the development of projects within the framework of the Clean Development Mechanisms in Paraguay:
1) Minimum area: 0.5 hectares,
2) Cup coverage. 25%,
3) Height at maturity: 5 meters.",executive,Paraguay,PRY,,Redd+ And Lulucf,26/06/2007 | Law passed
900,Decree 14943/01 implementing the National Climate Change Program,"This decree implements the National Program on Climate Change, dependent on the Secretariat of the Environment. It will be integrated by a National Council on Climate Change and a National Office of Climate Change, which will act jointly in the evaluation and implementation of the actions linked to the obligations assumed by the Republic of Paraguay within the Framework Agreement of the United Nations on Climate Change and the Kyoto Protocol. The Decree sets the administrative framework to make the Program effective.",executive,Paraguay,PRY,,Institutions / Administrative Arrangements,09/10/2001 | Law passed
901,National Climate Change Policy,"This document set the country's climate change mitigation and adaptation policy. It aims to install the topic of Climate Change at the national level and to promote the implementation of articulated measures that are coherent with the priorities of national development and the consolidation of a social state of law, and that point to the sustainability of the system. Gender, cultural diversity and the state of law are established as three transversal priorities.

The Policy notably seeks to 1) strengthen transversal and specific institutional capabilities, 2) promote the search and obtain funding sources to face climate risks, 3) improve education and raise public awareness, 4) improve technology and human capacities, and 5) reduce greenhouse gases emissions based on general and sectoral objectives.",executive,Paraguay,PRY,,"Transportation, Institutions / Administrative Arrangements, Energy Supply, Energy Demand, Adaptation",01/07/2012 | Law passed
902,Decree 6092/2016: Energy Policy of the Republic of Paraguay,"This decree implements the country's energy policy. The strategic vision of the policy is to respond satisfactorily to the population and productive sectors energy needs, while respecting socio-environmental and efficiency criteria. One of the main objective of the policy is to use hydro, biomass and other renewable resources to attend the demand. The document lists a number of action plan, such as the action plan for energy efficiency, to be implemented in order to reach Paraguay's overarching energy goals.",executive,Paraguay,PRY,No,"Institutions / Administrative Arrangements, Energy Supply, Energy Demand",10/10/2016 | Law passed
903,National Environment & Development Sector Plan 2013 - 2016,"<div class=""page"" title=""Page 7"">
<div class=""layoutArea"">
<div class=""column"">

This Plan determines how Samoa plan to meet their SDG targets regarding the natural environment and its links to human activities, which include agriculture, water and sanitation, infrastructure, energy and tourism. It distinguishes between eight types of environments, such as upland, lowland, coastal and protected habitats.

One key objective of the plan is to implement ecosystem-based strategies to support climate change mitigation and adaptation. It also identifies the following ways to adapt to climate change impacts: 1) implement sustainable plans for improving the protection of critical catchment areas, 2) assign priority to securing the full protection of the entire Apia, Vaisigano and Tafitoala catchment areas, 3) promote and support the replanting of catchment and erosion prone areas, 4) promote and support the replanting of mangrove forests and exposed coastal areas, 5) encourage and facilitate the relocation of households away from high risk flood-prone areas, 6) promote the growing of food crops that are not vulnerable to wind damage, 7) support the full implementation of Samoa's NAPA, 8) encourage the implementation of natural solutions to enhance coastal resilience to climate change, 9) promote efforts to rehabilitate all degraded land areas through the replanting of appropriate tree species and the use of sustainable soil management techniques, and 10) develop and promote sustainable models of future climate for project sites based on a range of climate change scenarios.

</div>
</div>
</div>",executive,Samoa,WSM,Mitigation and adaptation,"Transportation, Research And Development, Institutions / Administrative Arrangements, Energy Supply, Energy Demand, Carbon Pricing",01/06/2013 | Law passed
904,Energy Act,"This Act repeals and replaces the Seychelles Energy Commission Act 2010, and notably makes provisions for renewable energy and energy efficiency. The Commission is notably in charge of designing tariffs that are favourable to renewable energy sources, and foster public awareness about the importance of renewable energy in all sectors.

Part VI of the document is focused on the means of promotion of renewable energy. Energy efficiency is also promoted in all sectors, notably in Parts VII and VIII.",legislative,Seychelles,SYC,,"Institutions / Administrative Arrangements, Energy Supply, Energy Demand",18/12/2012 | Law passed
905,Disaster Risk Management Act,"<div class=""page"" title=""Page 2"">
<div class=""layoutArea"">
<div class=""column"">

This Act aims at implementing effective management of disaster risk through a comprehensive and integrated all-hazard approach. A Disaster Risk Division is created in Part II. The document defines the missions and organisation of this Division.

Part II, art. 4, mentions climate change effects as one of the factors to monitor.

</div>
Part III states that the General Director of the Division shall prepare a National Disaster Risk Management Strategy.

</div>
</div>",legislative,Seychelles,SYC,,Adaptation,19/08/2014 | Law passed
906,Conservation and Climate Adaptation Trust of Seychelles Act,"This Act establishes the Conservation and Climate Adaptation Trust of Seychelles for the purpose of regulating debt swap transactions.

The Trust shall 1) develop and administer the Endowment Fund, the Revolving Fund and the Additional Endowment Fund, and any other sources of funding, 2) administer the assets of the Trust, intended to provide a sustainable flow of funds which supplements existing and future funds from any sources to enable the Trust to support the long-term management and expansion of the Seychelles system of protected areas and other activities which contribute substantially to the conservation, protection and maintenance of biodiversity and the adaptation to the climate change as identified through consultations with stakeholders, and 3)perform exclusively for charitable, educational and scientific purposes.

The Act further details the organisation and composition of the Trust.",legislative,Seychelles,SYC,Mitigation and adaptation,"Institutions / Administrative Arrangements, Adaptation",16/11/2015 | Law passed
907,Seychelles Sustainable Development Strategy 2012-2020,"<div class=""page"" title=""Page 9"">
<div class=""section"">
<div class=""layoutArea"">
<div class=""column"">

The Seychelles Sustainable Development Strategy (SSDS) 2012-2020 is a national instrument which incorporates national priorities for sustainable development and lays out a roadmap for the implementation of those priorities. The Strategy aims at contributing to the realisation of the nation's economic, social and cultural potential through an innovative, knowledge-led approach, while being mindful of the need to conserve the integrity of the Seychelles natural environment and heritage for present and future generations.

The Strategy notably insists on the importance to foster adaptation efforts and investments in renewable energy. Resources needed for such goals, as well as protecting biodiversity, are estimated.

</div>
</div>
</div>
</div>",executive,Seychelles,SYC,Mitigation and adaptation,"Transportation, Institutions / Administrative Arrangements, Energy Supply, Energy Demand, Adaptation",25/12/2012 | Law passed
908,Seychelles' National Biodiversity Strategy and Action Plan 2015-2020,This document outlines the government's strategy for biodiversity conservation over the period 2015-2020. It aims in particular to integrate biodiversity into climate change adaptation programmes.,executive,Seychelles,SYC,,"Research And Development, Institutions / Administrative Arrangements, Carbon Pricing",25/12/2014 | Law passed
909,"Assignment of Responsibility to the Minister for Environment, Climate Change, Disaster Management and Meteorology","This document assigns to the Ministry the responsibility for the administration of the Ministry of Environment, Climate Change, Disaster Management and Meteorology.",legislative,Solomon Islands,SLB,No,Institutions / Administrative Arrangements,20/11/2011 | Law passed
910,Haiti Energy Sector Development Plan 2007 - 2017,"<div class=""page"" title=""Page 4"">
<div class=""layoutArea"">
<div class=""column"">

This plan frames a strategy to ensure a cheap, sustainable and reliable energy system in Haiti over the period 2007 to 2017. The government notably seeks to foster renewable energy resources and energy efficiency.

Specific objectives of the government include 1) support the recapitalisation of companies in difficulties, 2) strengthen the State's regulatory role, 3) improve the conditions for local and foreign investment, and 4) promote alternatives to fuel wood and promote renewable energies including energetic crops and forests.

The plan further calls for the conservation of natural resources, especially forests. Actions supported include 1) the reforestation of strategic areas, 2) conversion to diesel bio-diesel and to LPG of 1,000 small enterprises that use wood as fuel, 3) financial support to cellulose briquette producers, 4) initiation of a study to determine the feasibility of wood imports or exchanges with lime, and 4) promotion of wind and solar through institutional reinforcement and improved access for the poor to energy services.

</div>
</div>
</div>",executive,Haiti,HTI,Mitigation,"Energy Supply, Energy Demand",01/11/2006 | Law passed
911,Sierra Leone Vision 2025,Has two references to â€˜climate change' as one of the â€˜threats' the country is facing,executive,Sierra Leone,SLE,,Redd+ And Lulucf,01/08/2003 | Law passed
912,Law 536/95 to promote afforestation and reforestation,"This law states that the State shall provide the afforestation and reforestation action in forest priority areas, based on a Forest Management Plan and with the incentives established in this document. The priority areas are exempt from other legal obligations, such as the Agrarian Reform.

The document details the specific rules associated to priority areas. To incentivise growing forestry, the State will apply a one-time cost rebate by 75% for each afforested or reforested area. These concerns the direct costs of implantation and management costs (art. 7).",legislative,Paraguay,PRY,,Redd+ And Lulucf,16/01/1995 | Law passed
913,The Agenda for Prosperity: Sierra Leone's Third Generation Poverty Reduction Strategy Paper (2013 - 2018),"Has a number of references to climate change as a risk associated with the implementation of the agenda for prosperity. Contains references to renewable energy, carbon trading.",executive,Sierra Leone,SLE,,"Energy Supply, Energy Demand, Carbon Pricing",25/12/2013 | Law passed
914,National Energy Policy and Strategic Plan,"Has references to climate change, greenhouse gas abating technologies, renewable energy.",executive,Sierra Leone,SLE,Mitigation and adaptation,"Transportation, Energy Supply, Energy Demand",09/09/2019 | Law passed
915,Forestry Policy,"Several references to climate change including in policy statement. Refers to the need for research, education and awareness around climate change, and international donor funding for adaptation and mitigation.",executive,Sierra Leone,SLE,,"Research And Development, Adaptation",25/12/2010 | Law passed
916,Conservation and Wildlife Policy,"Refers to the need for research around climate change adaptation and mitigation, and carbon sequestration, and for donor or private funding related to mitigation of climate change and carbon sequestration.",executive,Sierra Leone,SLE,,Research And Development,25/12/2010 | Law passed
917,Solomon Islands National Energy Policy 2014,Climate change is included in the â€˜guiding principles' and mainstreaming is one of the â€˜key priorities'.,executive,Solomon Islands,SLB,,"Energy Supply, Energy Demand",25/12/2014 | Law passed
918,National Forest Policy for Tonga,"Has multiple references to climate change, carbon sequestration and carbon trading (including in the Policy Statement). However the Policy has not yet been incorporated into law. Tonga's existing Forests Act dates from 2005 and has no reference to climate change.",executive,Tonga,TON,Mitigation and adaptation,Research And Development,12/09/2009 | Law passed
919,National Spatial Planning and Management Act 2012,"Provides that before preparing a plan, the Agency shall consult with and provide information to stakeholders on coastal low-lying areas, climate change or other hazards.",legislative,Tonga,TON,,Institutions / Administrative Arrangements,17/09/2012 | Law passed
920,"Law No. 18.195 on promotion and regulation of the production, commercialisation and use of agrofuels",One of the stated aims of the Act is to reduce greenhouse gas emissions under the Kyoto Protocol and the UNFCCC.,legislative,Uruguay,URY,No,"Energy Supply, Energy Demand",30/10/2007 | Law passed
921,"Law No. 17,503 creating the Farm Reconstruction and Development Fund",Creates the Farm Reconstruction and Development Fund for producers affected by climatic disasters.,legislative,Uruguay,URY,,"Institutions / Administrative Arrangements, Adaptation",29/05/2002 | Law passed
922,"Law No. 19,147 creating the National Environmental Observatory",Tasks the Observatory with measuring greenhouse gas emissions.,legislative,Uruguay,URY,,Institutions / Administrative Arrangements,18/10/2013 | Law passed
923,Decree No. 86/012 Approving the Uruguayan Energy Savings and Efficiency Trust,One of the Trust's responsibilities is to promote energy efficiency and the reduction of greenhouse gases.,executive,Uruguay,URY,,"Institutions / Administrative Arrangements, Energy Supply, Energy Demand",22/03/2012 | Law passed
924,Decree No. 50/012 for promoting and financing the acquisition of Solar Thermal Energy equipment,The Preamble recognises that the solar equipment contributes to the mitigation of greenhouse gas emissions.,executive,Uruguay,URY,,Energy Supply,22/02/2012 | Law passed
925,Decree No. 58/015 establishing policies for the development of the energy sector,The Preamble recognises that generation of electrical energy from biomass contributes to the mitigation of greenhouse gas emissions.,executive,Uruguay,URY,,Energy Supply,17/02/2015 | Law passed
926,Decree No. 238/009 Creating the National Climate Change Response System,"This Decree creates the National Climate Change Response System in order to coordinate and plan the public and private responses necessary to prevent the risks, to mitigate and to adapt to climate change. The System will be under the supervision of the Ministry of Housing, Territorial Planning and the Environment. The Decree further establishes a Commission in charge of coordinating action entering within the scope of the System.",executive,Uruguay,URY,,"Institutions / Administrative Arrangements, Adaptation",20/05/2009 | Law passed
927,Decree No. 172/016 creating the National Environmental System,"This Decree creates the National Environmental System and taks it with strengthening, articulating and coordinating national public policies in the areas of environment, water and climate change. The decree notably charges the newly created institution to design policies to strenghten adaptation to climate change, generate related information, promote education.",executive,Uruguay,URY,,Institutions / Administrative Arrangements,06/06/2016 | Law passed
928,Law No. 19.158 creating the Uruguay Institute of Meterology,Tasks the Institute with providing technical and scientific advice to the Executive Branch on issues related to climate change.,legislative,Uruguay,URY,,"Research And Development, Institutions / Administrative Arrangements",25/10/2013 | Law passed
929,Law No. 19.126 on Mining Activities in Gran Porte,Creates an Intergenerational Sovereign Fund for Investment which may allocate resources to projects to adapt and mitigate the impact of climate change.,legislative,Uruguay,URY,,"Institutions / Administrative Arrangements, Adaptation",09/11/2013 | Law passed
930,Law no. 18.719 Approving the National Budget 2010-14 and Law no. 19.355 on the Budget 2015-19,"Has references to climate change, mitigation and adaptation.",legislative,Uruguay,URY,,"Institutions / Administrative Arrangements, Adaptation",27/12/2010 | Law passed
931,Law No. 18.597 on the Efficient Use of Energy in the National Territory,"Declares the efficient use of energy to be in the national interest, lays down rules for its promotion and regulation. Has references to reduction of greenhouse gas emissions.",legislative,Uruguay,URY,No,"Institutions / Administrative Arrangements, Energy Supply, Energy Demand",21/09/2009 | Law passed
932,Law No. 18.585 on Solar Energy,"Declares research, development and training in the use of solar energy to be in the national interest.",legislative,Uruguay,URY,Mitigation and adaptation,"Research And Development, Energy Supply",18/09/2009 | Law passed
933,Constitution of Zambia (Amendment) Act No. 2 of 2016,"Zambia's 2016 Constitution provides that ""The State shall â€¦ establish and implement mechanisms that address climate change.""",legislative,Zambia,ZMB,,Institutions / Administrative Arrangements,05/01/2016 | Law passed
934,National Policy on Environment,Multiple references to climate change and reducing greenhouse gas emissions.,executive,Zambia,ZMB,,"Transportation, Research And Development, Institutions / Administrative Arrangements, Energy Supply",01/11/2007 | Law passed
935,National Energy Policy,Objectives include reduction of greenhouse gas emissions and increased deployment of renewable energy sources.,executive,Zambia,ZMB,,"Institutions / Administrative Arrangements, Energy Supply, Energy Demand",01/05/2008 | Law passed
936,Decree-Law No. 26/2012 establishing the Environmental Basic Law,"Provides that the State should implement the necessary adaptation and mitigation measures to climate change to promote the reduction of greenhouse gas emissions to the atmosphere, their removal by sinks and the minimization of the negative effects of climate change impacts on biophysical systems.",legislative,Timor-Leste,TLS,,Adaptation,26/06/2012 | Law passed
937,Law No. 3/2012 on the legal authorisation for Environmental Basic Law,Refers to the need to implement necessary measures for climate change mitigation and adaptation.,legislative,Timor-Leste,TLS,,Adaptation,13/01/2012 | Law passed
938,Regulation No. 9/2007 approving the National Policy for the Forestry Sector,"Emphasises the role of forests, and afforestation, in tackling climate change.",legislative,Timor-Leste,TLS,No,Redd+ And Lulucf,26/07/2007 | Law passed
939,"Decree-Law No. 01/2013 establishing the structure of the Ministry of Trade, Industry and Environment",Establishes and specifies the responsibilities of the National Directorate for International Environmental Issues for Climate Change.,legislative,Timor-Leste,TLS,,"Institutions / Administrative Arrangements, Adaptation",23/01/2013 | Law passed
940,Program of the Fifth Constitutional Government: 2015-17 Legislature,"States that the Government will continue developing the National Climate Change Centre to conduct research and observation on climate change, collect data on climate change impacts and encourage technology innovation to address adaptation and mitigation.",executive,Timor-Leste,TLS,Mitigation and adaptation,"Research And Development, Adaptation",03/10/2015 | Law passed
941,"Timor-Leste Strategic Development Plan, 2011-2030","Has multiple references to climate change adaptation, mitigation and research, renewable energy and carbon credits.",executive,Timor-Leste,TLS,,"Research And Development, Energy Supply, Adaptation",25/12/2011 | Law passed
942,Presidential Decree No.101 of 2005 on the establishment of the Public Environmental Protection Authority,One of the responsibilities of the Authority is to reduce air pollution and mitigate the effects of climate change.,executive,Yemen,YEM,No,Institutions / Administrative Arrangements,25/12/2005 | Law passed
943,Law No. 26 of 1995 on Environment Protection,"This law aims at protecting the environment, organise the conservation and maintenance, maintain the safety and balance of its natural ecosystems. It also aims at 1) combating all types of pollution resulting from implementation of economic, agricultural, industrial, construction development programs, 2) protecting local species, 3) protecting society and health, 4) protecting the national environment from activities performed out of the national territory, 5) implementing international obligations, including the protection of the ozone layer and the climate.<br />
<br />
Art. 58.2 on monitoring (chapter 6) specifies that the Environmental Protection Council shall make sure that competent bodies operating in environmental monitoring networks are capable of recording and observe climate and weather conditions in Yemen.",legislative,Yemen,YEM,No,Institutions / Administrative Arrangements,29/10/1995 | Law passed
944,Law No. 1 of 2009 on Electricity,Seeks to promote renewable and sustainable sources of energy.,legislative,Yemen,YEM,,"Institutions / Administrative Arrangements, Energy Supply, Energy Demand",11/03/2009 | Law passed
945,National Strategy for Renewable Energy and Energy Efficiency,Seeks to promote renewable power generation and energy efficiency. Has a reference to reducing greenhouse gas emissions.,executive,Yemen,YEM,,"Institutions / Administrative Arrangements, Energy Supply, Energy Demand",01/06/2009 | Law passed
946,Environmental Protection Act,"Although this is a general environmental legislation, it has references to climate change mitigation, emission permits, emission trading. There are several regulations and ordinances promulgated under it, such as the Ordinance on Availability of Information on Fuel economy and CO2 Emissions of New Passenger Cars 2007.",legislative,Croatia,HRV,,Redd+ And Lulucf,03/10/2007 | Law passed
947,Air Protection Law,"This law addresses climate change mitigation, adaptation, and protection on the ozone layer. There are numerous climate change-related regulations and ordinances promulgated under it, such as the Regulation on the establishment of the Commission for inter-sectoral coordination of policies and measures to mitigate and adapt to climate change (2014) and the Regulation on the method of greenhouse gas emissions trading (2012).",legislative,Croatia,HRV,No,"Transportation, Research And Development, Institutions / Administrative Arrangements, Energy Supply, Energy Demand, Adaptation",28/10/2011 | Law passed
948,"Regulation on the adoption of the Plan for the air protection, protection of the ozone layer and climate change mitigation in the Republic of Croatia for the period 2013-2017","This regulation adopts the Plan for Airspace, Ozone Layer and Mitigation of the Climate Change in the Republic of Croatia for the Period 2013 - 2017. This Plan defines the objectives and priorities for the protection of air, ozone layer and mitigation of climate change in the Republic of Croatia in a five year period. This document describes into detail the purpose of the plan and its legal and economic implications.",executive,Croatia,HRV,,"Transportation, Research And Development, Institutions / Administrative Arrangements, Energy Supply, Energy Demand, Carbon Pricing",14/11/2013 | Law passed
949,Strategy for Sustainable Development of the Republic of Croatia,Adopted pursuant to Article 44 of the Environmental Protection Act 2007.,executive,Croatia,HRV,Mitigation and adaptation,"Transportation, Research And Development, Institutions / Administrative Arrangements, Energy Supply, Energy Demand, Adaptation",20/02/2009 | Law passed
950,National Reform Programme 2016,"Targets include reduced GHG emissions, increased share of renewables and increased energy efficiency.",executive,Croatia,HRV,Adaptation,"Transportation, Energy Supply, Energy Demand",01/04/2016 | Law passed
951,Energy Act,"This document implements the Third EU Energy Package into Croatian law. It sets further measures related to security of supply, power generation and use. Art. 26 determines the feed-in tariffs for renewably sourced electricity.",legislative,Croatia,HRV,,"Institutions / Administrative Arrangements, Energy Supply, Energy Demand",19/10/2012 | Law passed
952,Law on Biofuels for Transport,GHG reduction is one of the stated purposes of the Act. The Act is implemented through various regulations and ordinances such as the Regulation on Promotion of Biofuel for Transport 2011 and the Regulation on the conditions and procedure for incentives for the production of biofuels for transport 2011.,legislative,Croatia,HRV,Mitigation,"Transportation, Institutions / Administrative Arrangements, Energy Supply, Energy Demand",22/05/2009 | Law passed
953,Law on Renewable Energy Sources and Highly Efficient Cogeneration,One of the purposes of the Act is efficient use of energy and reducing the impact of fossil fuels on the environment.,legislative,Croatia,HRV,,"Research And Development, Energy Supply, Energy Demand",10/09/2015 | Law passed
954,Law on Energy Efficiency,GHG reduction is one of the stated purposes of the Act.,legislative,Croatia,HRV,,"Institutions / Administrative Arrangements, Energy Supply, Energy Demand, Carbon Pricing",17/10/2014 | Law passed
955,Environmental Protection and Energy Efficiency Fund Act,"The assets of the Fund are to be used to finance, among others, climate change mitigation, renewable energy and energy efficiency.",legislative,Croatia,HRV,,"Transportation, Institutions / Administrative Arrangements, Energy Supply, Energy Demand, Carbon Pricing",24/06/2003 | Law passed
956,Law on the promotion of clean and energy efficient vehicles on roads,Aims to reduce CO2 emissions and improve energy efficiency.,legislative,Croatia,HRV,,Transportation,04/10/2013 | Law passed
957,Law on the establishment of infrastructure for alternative fuels,Aims include decarbonisation and improving the environmental efficiency of the transport sector.,legislative,Croatia,HRV,No,"Transportation, Energy Supply",09/12/2016 | Law passed
